Model ID | Has SFconvert PRs | Has Merged PRs | Has Open PRs | Discussions Disabled | Not Found
h2oai/h2ogpt-oig-oasst1-512-6_9b | True | False | True | False | False
openai/clip-vit-base-patch16 | True | False | True | False | False
mrm8488/t5-base-finetuned-span-sentiment-extraction | True | False | True | False | False
davidkim205/komt-mistral-7b-v1 | True | False | True | False | False
mlc-ai/Llama-3.1-8B-Instruct-q4f32_1-MLC | False | False | False | False | False
Helsinki-NLP/opus-mt-es-fr | True | False | True | False | False
xlnet/xlnet-base-cased | True | False | True | False | False
cross-encoder/quora-roberta-large | True | True | False | False | False
internlm/internlm-xcomposer2-7b | True | False | True | False | False
sonoisa/t5-base-japanese | True | True | False | False | False
pvl/labse_bert | True | False | True | False | False
asahi417/tner-xlm-roberta-large-ontonotes5 | True | False | True | False | False
stablediffusionapi/explicit-freedom-nsfw-wai | False | False | False | False | False
anton-l/wav2vec2-random-tiny-classifier | True | False | True | False | False
geolocal/StreetCLIP | True | False | True | False | False
Rostlab/prot_t5_xl_half_uniref50-enc | False | False | False | True | False
google/umt5-xl | True | False | True | False | False
flaviagiammarino/pubmed-clip-vit-base-patch32 | True | False | True | False | False
piddnad/ddcolor_paper_tiny | False | False | False | False | False
vikp/column_detector | True | False | True | False | False
facebook/timesformer-base-finetuned-k400 | True | False | True | False | False
jhgan/ko-sbert-multitask | True | False | True | False | False
martin-ha/toxic-comment-model | True | False | True | False | False
cardiffnlp/twitter-roberta-base-dec2021-tweet-topic-multi-all | True | False | True | False | False
textattack/bert-base-uncased-imdb | True | False | True | False | False
NousResearch/Nous-Capybara-34B | True | False | True | False | False
EleutherAI/pythia-6.9b-deduped | True | False | True | False | False
CIDAS/clipseg-rd16 | True | True | False | False | False
snunlp/KR-ELECTRA-generator | True | False | True | False | False
YituTech/conv-bert-base | True | False | True | False | False
uukuguy/zephyr-7b-alpha-dare-0.85 | True | False | True | False | False
uer/roberta-base-chinese-extractive-qa | True | False | True | False | False
valhalla/distilbart-mnli-12-1 | True | False | True | False | False
charactr/vocos-encodec-24khz | False | False | False | False | False
h2oai/h2ogpt-gm-oasst1-en-2048-falcon-40b-v2 | False | False | False | False | False
Salesforce/codegen-350M-multi | True | False | True | False | False
shibing624/text2vec-base-chinese-sentence | True | True | False | False | False
microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224 | False | False | False | False | False
facebook/mask2former-swin-large-coco-panoptic | True | False | True | False | False
allenai/longformer-large-4096 | True | False | True | False | False
naver/efficient-splade-V-large-doc | True | False | True | False | False
Helsinki-NLP/opus-mt-ur-en | True | False | True | False | False
Helsinki-NLP/opus-mt-sk-en | True | False | True | False | False
FacebookAI/xlm-roberta-large-finetuned-conll03-german | True | False | True | False | False
QCRI/PropagandaTechniquesAnalysis-en-BERT | True | False | True | False | False
facebook/hf-seamless-m4t-large | True | False | True | False | False
charactr/vocos-mel-24khz | True | False | True | False | False
nlpaueb/legal-bert-small-uncased | True | False | True | False | False
google/reformer-crime-and-punishment | True | False | True | False | False
citizenlab/distilbert-base-multilingual-cased-toxicity | True | False | True | False | False
line-corporation/line-distilbert-base-japanese | True | False | True | False | False
dbmdz/bert-base-french-europeana-cased | True | False | True | False | False
microsoft/wavlm-large | True | False | True | False | False
state-spaces/mamba2-2.7b | True | False | True | False | False
echarlaix/tiny-random-t5 | True | False | True | False | False
internlm/internlm-xcomposer2d5-7b-4bit | True | False | True | False | False
lmsys/vicuna-13b-v1.5 | True | False | True | False | False
ai-forever/rugpt3large_based_on_gpt2 | True | False | True | False | False
lorahub/flan_t5_large-qasc_qa_with_separated_facts_3 | False | False | False | False | False
naver/splade_v2_max | True | False | True | False | False
urchade/gliner_medium-v2.1 | True | True | False | False | False
NYTK/sentiment-hts5-xlm-roberta-hungarian | True | False | True | False | False
deepseek-ai/deepseek-math-7b-instruct | True | False | True | False | False
cyberagent/open-calm-3b | True | False | True | False | False
allenai/unifiedqa-v2-t5-large-1363200 | True | False | True | False | False
Linly-AI/Chinese-LLaMA-2-7B-hf | True | False | True | False | False
intfloat/simlm-msmarco-reranker | True | False | True | False | False
vinai/xphonebert-base | True | False | True | False | False
core42/jais-13b-chat | True | False | True | False | False
nvidia/segformer-b1-finetuned-cityscapes-1024-1024 | True | False | True | False | False
cardiffnlp/tweet-topic-latest-multi | True | False | True | False | False
hf-tiny-model-private/tiny-random-GPT2LMHeadModel | True | False | True | False | False
facebook/blenderbot_small-90M | True | False | True | False | False
google/mt5-base | True | False | True | False | False
BridgeTower/bridgetower-large-itm-mlm-itc | True | False | True | False | False
Helsinki-NLP/opus-mt-es-en | True | False | True | False | False
IlyaGusev/saiga_mistral_7b_merged | True | False | True | False | False
LiheYoung/depth_anything_vitl14 | True | False | True | False | False
facebook/deit-base-patch16-224 | True | False | True | False | False
PlanTL-GOB-ES/roberta-base-bne | True | False | True | False | False
diffusionai/detr-face-detection | True | False | True | False | False
microsoft/wavlm-base-plus | True | False | True | False | False
Helsinki-NLP/opus-mt-hu-en | True | False | True | False | False
jb723/LLaMA2-en-ko-7B-model | True | False | True | False | False
textattack/roberta-base-rotten-tomatoes | True | False | True | False | False
csebuetnlp/banglat5_nmt_bn_en | True | False | True | False | False
marella/gpt-2-ggml | False | False | False | False | False
google/byt5-large | True | False | True | False | False
lysandre/tiny-tapas-random-sqa | True | False | True | False | False
abacusai/Liberated-Qwen1.5-14B | True | False | True | False | False
google/t5_xxl_true_nli_mixture | True | False | True | False | False
google/tapas-tiny-finetuned-wtq | True | False | True | False | False
BAAI/bge-base-zh-v1.5 | True | False | True | False | False
allenai/led-large-16384-arxiv | True | False | True | False | False
peiyi9979/math-shepherd-mistral-7b-prm | True | False | True | False | False
cross-encoder/ms-marco-MiniLM-L-6-v2 | True | True | False | False | False
Systran/faster-whisper-medium | False | False | False | False | False
snrspeaks/t5-one-line-summary | True | False | True | False | False
rhasspy/faster-whisper-tiny-int8 | False | False | False | False | False
internlm/internlm2-1_8b | True | False | True | False | False
patrickvonplaten/wav2vec2_tiny_random | True | False | True | False | False
HuggingFaceH4/tiny-random-LlamaForCausalLM | True | False | True | False | False
facebook/esm2_t48_15B_UR50D | True | False | True | False | False
tiiuae/falcon-7b-instruct | True | True | False | False | False
zhihan1996/DNABERT-2-117M | True | False | True | False | False
facebook/fasttext-fr-vectors | False | False | False | False | False
rasa/LaBSE | True | False | True | False | False
masonbarnes/open-llm-search | True | False | True | False | False
facebook/opt-30b | True | False | True | False | False
urchade/gliner_multi | False | False | False | False | False
OFA-Sys/chinese-clip-vit-large-patch14-336px | True | False | True | False | False
stablediffusionapi/lyrielv16 | False | False | False | False | False
ai4bharat/IndicNER | True | False | True | False | False
Qwen/Qwen-VL-Chat | True | False | True | False | False
myshell-ai/MeloTTS-Chinese | False | False | False | False | False
BAAI/AquilaChat2-34B-16K | False | False | False | False | False
thibaud/controlnet-sd21-hed-diffusers | False | False | False | False | False
FremyCompany/BioLORD-2023 | True | True | False | False | False
m-a-p/MERT-v1-95M | True | False | True | False | False
othrif/wav2vec2-large-xlsr-arabic | True | False | True | False | False
eugenesiow/edsr-base | False | False | False | False | False
microsoft/BiomedVLP-CXR-BERT-specialized | True | False | True | False | False
yiyanghkust/finbert-tone | True | False | True | False | False
google-bert/bert-base-german-dbmdz-cased | True | False | True | False | False
google/electra-large-discriminator | True | False | True | False | False
baffo32/decapoda-research-llama-7B-hf | True | False | True | False | False
KBNIT/llama-2-koen-13b-QLoRA-NEFTune-kolon-v0.1 | False | False | False | False | False
Open-Orca/Mistral-7B-SlimOrca | True | False | True | False | False
softcatala/wav2vec2-large-xlsr-catala | True | False | True | False | False
peft-internal-testing/tiny_T5ForSeq2SeqLM-lora | False | False | False | False | False
microsoft/codereviewer | True | False | True | False | False
facebook/nllb-200-distilled-1.3B | True | False | True | False | False
Helsinki-NLP/opus-mt-en-de | True | False | True | False | False
togethercomputer/RedPajama-INCITE-Chat-3B-v1 | True | False | True | False | False
wonrax/phobert-base-vietnamese-sentiment | True | False | True | False | False
Helsinki-NLP/opus-mt-en-it | True | False | True | False | False
facebook/incoder-6B | True | False | True | False | False
sshleifer/bart-tiny-random | True | False | True | False | False
facebook/wav2vec2-lv-60-espeak-cv-ft | True | False | True | False | False
OFA-Sys/chinese-clip-vit-large-patch14 | True | False | True | False | False
Helsinki-NLP/opus-mt-no-de | True | False | True | False | False
textattack/roberta-base-imdb | True | False | True | False | False
embaas/sentence-transformers-gte-base | True | False | True | False | False
google/t5-v1_1-xxl | True | False | True | False | False
kssteven/ibert-roberta-base | True | False | True | False | False
EleutherAI/pythia-6.9b | True | False | True | False | False
google/pegasus-large | True | False | True | False | False
google/switch-base-8 | True | False | False | False | False
BAAI/bge-large-zh-v1.5 | True | True | True | False | False
LiheYoung/depth_anything_vitb14 | True | False | True | False | False
Rostlab/prot_bert | True | False | True | False | False
facebook/nllb-200-1.3B | True | False | True | False | False
Helsinki-NLP/opus-mt-da-en | True | False | True | False | False
microsoft/swin-base-patch4-window12-384 | True | False | True | False | False
EleutherAI/enformer-official-rough | True | False | True | False | False
noamrot/FuseCap_Image_Captioning | True | False | True | False | False
datificate/gpt2-small-spanish | True | False | True | False | False
mohitsha/tiny-ernie-random-remote-code | True | False | True | False | False
facebook/timesformer-base-finetuned-k600 | True | False | True | False | False
microsoft/swinv2-base-patch4-window8-256 | True | False | True | False | False
sshleifer/distilbart-cnn-12-3 | True | False | True | False | False
laion/larger_clap_music | True | False | True | False | False
Envvi/Inkpunk-Diffusion | False | False | False | False | False
trl-internal-testing/tiny-random-GPT2LMHeadModel | False | False | False | False | True
mosaicml/mpt-30b-instruct | True | False | True | False | False
jonatasgrosman/wav2vec2-large-xlsr-53-hungarian | True | False | True | False | False
UFNLP/gatortron-base | True | False | True | False | False
Voicelab/trurl-2-13b-academic | True | False | True | False | False
microsoft/wavlm-base | True | False | True | False | False
lambdalabs/sd-image-variations-diffusers | True | False | True | False | False
jhgan/ko-sbert-sts | True | False | True | False | False
microsoft/swinv2-base-patch4-window12-192-22k | True | False | True | False | False
charsiu/g2p_multilingual_byT5_small_100 | True | False | True | False | False
m3hrdadfi/wav2vec2-xlsr-persian-speech-emotion-recognition | True | False | True | False | False
neulab/codebert-python | True | False | True | False | False
myshell-ai/MeloTTS-English-v3 | False | False | False | False | False
microsoft/deberta-large-mnli | False | False | False | False | False
Systran/faster-distil-whisper-large-v3 | False | False | False | False | False
facebook/wmt19-en-de | True | True | True | False | False
nreimers/mMiniLMv2-L12-H384-distilled-from-XLMR-Large | True | False | True | False | False
allenai/longformer-large-4096-finetuned-triviaqa | True | False | True | False | False
microsoft/BioGPT-Large | True | False | True | False | False
suno/bark-small | True | False | True | False | False
pankajmathur/orca_mini_v3_13b | True | True | False | False | False
lier007/xiaobu-embedding-v2 | True | True | False | False | False
HuggingFaceM4/tiny-random-MistralForCausalLM | True | False | True | False | False
kha-white/manga-ocr-base | True | False | True | False | False
tunib/electra-ko-en-base | True | False | True | False | False
facebook/dino-vits16 | True | False | True | False | False
laboro-ai/distilbert-base-japanese | True | False | True | False | False
shunk031/aesthetics-predictor-v1-vit-large-patch14 | True | True | False | False | False
Elron/bleurt-tiny-512 | True | False | True | False | False
facebook/maskformer-swin-large-ade | True | False | True | False | False
kuelumbus/polyBERT | True | False | True | False | False
Salesforce/codegen-2B-multi | True | False | True | False | False
vinai/phobert-base | True | False | True | False | False
marcsun13/bloom-1b7_with_lm_head | True | False | True | False | False
facebook/xlm-v-base | True | False | True | False | False
squeezebert/squeezebert-uncased | True | False | True | False | False
OFA-Sys/chinese-clip-vit-base-patch16 | True | False | True | False | False
flair/ner-english-ontonotes | False | False | False | False | False
facebook/metaclip-b16-fullcc2.5b | True | False | True | False | False
ai4bharat/IndicBERTv2-MLM-only | True | False | True | False | False
Helsinki-NLP/opus-mt-pl-en | True | False | True | False | False
ybelkada/tiny-random-T5ForConditionalGeneration-calibrated | True | True | True | False | False
Helsinki-NLP/opus-mt-af-en | True | False | True | False | False
microsoft/trocr-small-stage1 | True | False | True | False | False
guillaumekln/faster-whisper-medium.en | False | False | False | False | False
cross-encoder/ms-marco-MiniLM-L-2-v2 | True | True | False | False | False
DMetaSoul/Dmeta-embedding-zh | True | False | True | False | False
Helsinki-NLP/opus-mt-tc-big-ar-en | True | False | True | False | False
Ericwang/tiny-random-ast | True | False | True | False | False
microsoft/GODEL-v1_1-large-seq2seq | True | False | True | False | False
jphme/Llama-2-13b-chat-german | True | False | True | False | False
jonatasgrosman/wav2vec2-large-xlsr-53-persian | True | False | True | False | False
WizardLMTeam/WizardCoder-15B-V1.0 | True | False | True | False | False
ckiplab/albert-tiny-chinese | True | False | True | False | False
Helsinki-NLP/opus-mt-ko-en | True | False | True | False | False
BAAI/AltCLIP-m18 | True | False | True | False | False
tohoku-nlp/bert-large-japanese | True | False | True | False | False
Helsinki-NLP/opus-mt-en-id | True | False | True | False | False
lambdalabs/sd-pokemon-diffusers | True | False | True | False | False
peft-internal-testing/tiny_WhisperForConditionalGeneration-lora | False | False | False | False | False
dmis-lab/biosyn-sapbert-bc5cdr-chemical | True | False | True | False | False
microsoft/Florence-2-base-ft | False | False | False | False | False
caidas/swin2SR-realworld-sr-x4-64-bsrgan-psnr | True | False | True | False | False
Helsinki-NLP/opus-mt-en-es | True | False | True | False | False
hfl/chinese-macbert-base | False | False | False | True | False
hf-tiny-model-private/tiny-random-OwlViTModel | True | False | True | False | False
abbasgolestani/ag-nli-DeTS-sentence-similarity-v2 | True | False | True | False | False
nlpaueb/legal-bert-base-uncased | True | False | True | False | False
maywell/Synatra-7B-v0.3-RP | True | False | True | False | False
pkshatech/GLuCoSE-base-ja | True | False | True | False | False
bionlp/bluebert_pubmed_uncased_L-12_H-768_A-12 | True | False | True | False | False
jonatasgrosman/wav2vec2-large-xlsr-53-russian | True | False | True | False | False
databricks/dolly-v2-7b | True | False | True | False | False
myshell-ai/MeloTTS-English | False | False | False | False | False
HooshvareLab/bert-fa-base-uncased | True | False | True | False | False
fxmarty/tiny-doc-qa-vision-encoder-decoder | True | False | True | False | False
KoboldAI/GPT-NeoX-20B-Erebus | False | False | False | True | False
Salesforce/codegen-350M-mono | True | False | True | False | False
Helsinki-NLP/opus-mt-fr-de | True | False | True | False | False
Pi3141/DialoGPT-medium-elon-2 | True | False | True | False | False
facebook/wav2vec2-conformer-rel-pos-large-960h-ft | True | False | True | False | False
pyannote/brouhaha | False | False | False | False | False
microsoft/wavlm-base-plus-sv | True | False | True | False | False
roneneldan/TinyStories-33M | True | False | True | False | False
naver-clova-ix/donut-base-finetuned-docvqa | True | False | True | False | False
cardiffnlp/twitter-roberta-base-sentiment-latest | True | False | True | False | False
allenai/scibert_scivocab_uncased | True | False | True | False | False
mosaicml/mpt-7b-storywriter | True | False | True | False | False
microsoft/Multilingual-MiniLM-L12-H384 | True | False | True | False | False
DiscoResearch/mixtral-7b-8expert | True | False | True | False | False
FasterDecoding/medusa-vicuna-7b-v1.3 | False | False | False | False | False
numind/NuNER-multilingual-v0.1 | True | False | True | False | False
Nexusflow/NexusRaven-V2-13B | True | False | True | False | False
microsoft/beit-base-patch16-224-pt22k-ft22k | True | False | True | False | False
guillaumekln/faster-whisper-small | False | False | False | False | False
naver-clova-ix/donut-base-finetuned-rvlcdip | True | False | True | False | False
seyonec/PubChem10M_SMILES_BPE_450k | True | False | True | False | False
cross-encoder/stsb-TinyBERT-L-4 | True | True | False | False | False
hf-tiny-model-private/tiny-random-GPTNeoXForCausalLM | True | False | True | False | False
megagonlabs/transformers-ud-japanese-electra-base-ginza-510 | True | False | True | False | False
JungleLee/bert-toxic-comment-classification | True | False | True | False | False
sshleifer/distilbart-cnn-6-6 | True | False | True | False | False
microsoft/dit-base-finetuned-rvlcdip | True | False | True | False | False
google/efficientnet-b0 | True | False | True | False | False
LeoLM/leo-hessianai-7b | True | False | True | False | False
MahmoodLab/UNI | True | False | True | False | False
inceptionai/jais-30b-chat-v1 | False | False | False | False | False
allenai/specter | True | False | True | False | False
cledoux42/Ethnicity_Test_v003 | True | False | True | False | False
dkleczek/bert-base-polish-cased-v1 | True | False | True | False | False
sshleifer/tiny-distilbert-base-cased-distilled-squad | True | False | True | False | False
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual | True | False | True | False | False
baichuan-inc/Baichuan-13B-Chat | True | False | True | False | False
hf-tiny-model-private/tiny-random-CodeGenForCausalLM | True | False | True | False | False
rufimelo/Legal-BERTimbau-sts-base-ma-v2 | True | True | False | False | False
peft-internal-testing/tiny-OPTForCausalLM-lora | False | False | False | False | False
Helsinki-NLP/opus-mt-uk-es | True | False | True | False | False
r1char9/rubert-base-cased-russian-sentiment | True | False | True | False | False
apple/mobilevit-small | True | False | True | False | False
laion/CLIP-ViT-B-32-roberta-base-laion2B-s12B-b32k | False | False | False | False | False
Helsinki-NLP/opus-mt-de-en | True | False | True | False | False
Helsinki-NLP/opus-mt-cs-en | True | False | True | False | False
Helsinki-NLP/opus-mt-roa-en | True | False | True | False | False
trl-internal-testing/tiny-random-CodeGenForCausalLM | False | False | False | False | True
flair/pos-english | False | False | False | False | False
akreal/tiny-random-LlamaForCausalLM | True | False | True | False | False
emilianJR/chilloutmix_NiPrunedFp32Fix | True | False | True | False | False
google/ddpm-celebahq-256 | False | False | False | False | False
illuin/tiny-random-FalconForCausalLM | True | False | True | False | False
pierreguillou/gpt2-small-portuguese | True | False | True | False | False
squeezebert/squeezebert-mnli | True | False | True | False | False
uclanlp/visualbert-vqa-coco-pre | True | False | True | False | False
Helsinki-NLP/opus-mt-en-hu | True | False | True | False | False
KoboldAI/OPT-6.7B-Erebus | False | False | False | True | False
M47Labs/spanish_news_classification_headlines | True | False | True | False | False
urchade/gliner_multi_pii-v1 | True | False | True | False | False
facebook/esm1b_t33_650M_UR50S | True | False | True | False | False
state-spaces/mamba-370m | True | False | True | False | False
DeepPavlov/distilrubert-base-cased-conversational | True | False | True | False | False
embaas/sentence-transformers-multilingual-e5-base | True | False | True | False | False
Helsinki-NLP/opus-mt-mk-en | True | False | True | False | False
neulab/codebert-c | True | False | True | False | False
jonatasgrosman/wav2vec2-large-xlsr-53-finnish | True | False | True | False | False
timm/vit_base_patch32_clip_224.openai | False | False | False | False | False
VietAI/envit5-translation | True | False | True | False | False
openlm-research/open_llama_7b | True | False | True | False | False
unicamp-dl/translation-en-pt-t5 | True | False | True | False | False
fxmarty/tiny-random-working-LongT5Model | True | False | True | False | False
AlekseyKorshuk/vicuna-7b | True | False | True | False | False
naver-clova-ocr/bros-base-uncased | True | False | True | False | False
alexandrainst/da-hatespeech-detection-small | True | False | True | False | False
pritamdeka/S-PubMedBert-MS-MARCO | True | False | True | False | False
google/vit-large-patch32-384 | True | False | True | False | False
TencentARC/PhotoMaker-V2 | False | False | False | False | False
lambdalabs/miniSD-diffusers | True | False | True | False | False
nlpie/compact-biobert | True | False | True | False | False
KoboldAI/GPT-J-6B-Janeway | True | False | True | False | False
humarin/chatgpt_paraphraser_on_T5_base | True | False | True | False | False
dmis-lab/biosyn-sapbert-bc5cdr-disease | True | False | True | False | False
Helsinki-NLP/opus-mt-en-nl | True | False | True | False | False
Open-Orca/Mistral-7B-OpenOrca | True | False | True | False | False
infgrad/puff-base-v1 | True | False | False | False | False
jhgan/ko-sroberta-multitask | True | False | True | False | False
google/byt5-base | True | False | True | False | False
ybelkada/blip2-opt-2.7b-fp16-sharded | True | False | True | False | False
laion/CoCa-ViT-L-14-laion2B-s13B-b90k | False | False | False | False | False
fxmarty/pix2struct-tiny-random | True | False | True | False | False
facebook/vit-mae-large | True | False | True | False | False
google/vivit-b-16x2 | True | False | True | False | False
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5 | True | False | True | False | False
VRLLab/TurkishBERTweet | True | False | True | False | False
infgrad/stella-large-zh-v2 | True | False | True | False | False
apple/DFN5B-CLIP-ViT-H-14 | True | False | True | False | False
hf-tiny-model-private/tiny-random-MCTCTModel | True | False | True | False | False
google/flan-ul2 | False | False | False | False | False
google/t5-efficient-tiny | True | False | True | False | False
mosaicml/mpt-7b | True | False | True | False | False
lysandre/tiny-tapas-random-wtq | True | False | True | False | False
uclanlp/keyphrase-mpnet-v1 | True | False | True | False | False
sgugger/tiny-distilbert-classification | True | False | True | False | False
ylacombe/bark-small | True | False | True | False | False
deepseek-ai/deepseek-llm-7b-base | True | False | True | False | False
google/vivit-b-16x2-kinetics400 | True | False | True | False | False
stablediffusionapi/crystal-clear-xlv1 | False | False | False | False | False
tohoku-nlp/bert-base-japanese-whole-word-masking | True | False | True | False | False
ValkyriaLenneth/longformer_zh | True | False | True | False | False
mesolitica/wav2vec2-xls-r-300m-mixed | True | False | True | False | False
jonatasgrosman/wav2vec2-large-xlsr-53-arabic | True | False | True | False | False
Helsinki-NLP/opus-mt-ar-es | True | False | True | False | False
trl-internal-testing/tiny-random-BloomForCausalLM | False | False | False | False | True
leo911kim/Exodia-kor-7B-v2 | True | False | True | False | False
EleutherAI/pythia-1.4b-deduped | True | False | True | False | False
stablediffusionapi/juggernaut-reborn | True | False | True | False | False
microsoft/dit-base | True | False | True | False | False
facebook/dpr-question_encoder-single-nq-base | True | False | True | False | False
maidalun1020/bce-reranker-base_v1 | True | False | True | False | False
Qwen/Qwen-VL | True | False | True | False | False
vinid/plip | True | False | True | False | False
megantosh/flair-arabic-multi-ner | False | False | False | False | False
lengyue233/content-vec-best | True | False | True | False | False
Helsinki-NLP/opus-tatoeba-en-tr | True | False | True | False | False
Helsinki-NLP/opus-mt-en-fr | True | False | True | False | False
ckiplab/albert-tiny-chinese-ws | True | False | True | False | False
echarlaix/tiny-random-stable-diffusion-xl-refiner | False | False | False | False | False
Helsinki-NLP/opus-mt-ru-en | True | False | True | False | False
EMBEDDIA/sloberta | True | False | True | False | False
bigcode/starpii | True | False | True | False | False
flair/ner-english-ontonotes-fast | False | False | False | False | False
prajjwal1/bert-mini | True | False | True | False | False
M-CLIP/XLM-Roberta-Large-Vit-L-14 | True | False | True | False | False
EleutherAI/pythia-12b-deduped | True | False | True | False | False
allenai/specter2_base | True | False | True | False | False
nanaaaa/BilingualChildEmo | True | False | True | False | False
claudfuen/photorealistic-fuen-v1 | False | False | False | False | False
shunk031/aesthetics-predictor-v2-sac-logos-ava1-l14-linearMSE | True | True | False | False | False
redstonehero/animesh_prunedv21 | False | False | False | False | False
google/bert_uncased_L-8_H-512_A-8 | True | False | True | False | False
facebook/hubert-large-ls960-ft | True | False | True | False | False
Helsinki-NLP/opus-mt-en-he | True | False | True | False | False
dmis-lab/TinySapBERT-from-TinyPubMedBERT-v1.0 | True | False | True | False | False
facebook/wav2vec2-xls-r-1b | True | False | True | False | False
neuralmind/bert-base-portuguese-cased | True | False | True | False | False
microsoft/layoutlmv2-base-uncased | True | False | True | False | False
princeton-nlp/sup-simcse-roberta-base | True | False | True | False | False
facebook/convnextv2-tiny-22k-224 | True | False | True | False | False
google/mobilenet_v1_0.75_192 | True | False | True | False | False
neulab/gpt2-finetuned-wikitext103 | True | False | True | False | False
tiiuae/falcon-7b | True | True | True | False | False
